"id"	"scientific.name"	"accepted.name"	"family"	"taxon.rank"	"taxon.status"	"search.str"	"threat.status.cnc"	"threat.status.mma"	"threat.status.mma2022"	"notes"	"original.search"
"128"	8499	"Ocotea diospyrifolia (Meisn.) Mez"	NA	"Lauraceae"	"species"	"accepted"	"Ocotea diospyrifolia"	NA	NA	NA	""	"Ocotea diospyrifolia"
"129"	8455	"Ocotea dispersa (Nees & Mart.) Mez"	NA	"Lauraceae"	"species"	"accepted"	"Ocotea dispersa"	NA	NA	NA	""	"Ocotea dispersa"
"130"	8461	"Ocotea glaziovii Mez"	NA	"Lauraceae"	"species"	"accepted"	"Ocotea glaziovii"	NA	NA	NA	""	"Ocotea glaziovii"
"131"	8463	"Ocotea indecora (Schott) Mez"	NA	"Lauraceae"	"species"	"accepted"	"Ocotea indecora"	NA	NA	NA	""	"Ocotea indecora"
"132"	8475	"Ocotea nutans (Nees) Mez"	NA	"Lauraceae"	"species"	"accepted"	"Ocotea nutans"	NA	NA	NA	""	"Ocotea nutans"
"133"	8476	"Ocotea odorifera (Vell.) Rohwer"	NA	"Lauraceae"	"species"	"accepted"	"Ocotea odorifera"	"EN"	"EN"	"EN"	""	"Ocotea odorifera"
"134"	25620	"Ocotea prolifera (Nees & Mart.) Mez"	NA	"Lauraceae"	"species"	"accepted"	"Ocotea prolifera"	NA	NA	NA	""	"Ocotea prolifera"
"135"	8507	"Ocotea puberula (Rich.) Nees"	NA	"Lauraceae"	"species"	"accepted"	"Ocotea puberula"	"NT"	NA	NA	""	"Ocotea puberula"
"136"	8480	"Ocotea pulchella (Nees & Mart.) Mez"	NA	"Lauraceae"	"species"	"accepted"	"Ocotea pulchella"	"LC"	NA	NA	""	"Ocotea pulchella"
"137"	8485	"Ocotea silvestris Vattimo-Gil"	NA	"Lauraceae"	"species"	"accepted"	"Ocotea silvestris"	"LC"	NA	NA	""	"Ocotea silvestris"
"138"	8440	"Ocotea Aubl."	NA	"Lauraceae"	"genus"	"accepted"	"Ocotea sp."	NA	NA	NA	""	"Ocotea sp."
"139"	8510	"Ocotea teleiandra (Meisn.) Mez"	NA	"Lauraceae"	"species"	"accepted"	"Ocotea teleiandra"	NA	NA	NA	""	"Ocotea teleiandra"
"140"	8512	"Persea alba Nees & Mart."	NA	"Lauraceae"	"species"	"accepted"	"Persea alba"	NA	NA	NA	""	"Persea alba"
"141"	8511	"Persea Mill."	NA	"Lauraceae"	"genus"	"accepted"	"Persea sp."	NA	NA	NA	""	"Persea sp."
"142"	8523	"Persea willdenovii Kosterm."	NA	"Lauraceae"	"species"	"accepted"	"Persea willdenovii"	"LC"	NA	NA	""	"Persea willdenovii"
"143"	8670	"Strychnos brasiliensis (Spreng.) Mart."	NA	"Loganiaceae"	"species"	"accepted"	"Strychnos brasiliensis"	NA	NA	NA	"was misspelled"	"Strichnos brasiliensis"
"144"	8784	"Lafoensia pacari A.St.-Hil."	NA	"Lythraceae"	"species"	"accepted"	"Lafoensia pacari"	"LC"	NA	NA	""	"Lafoensia pacari"
"145"	19416	"Bunchosia pallescens Skottsb."	NA	"Malpighiaceae"	"species"	"accepted"	"Bunchosia pallescens"	"LC"	NA	NA	""	"Bunchosia pallescens"
"146"	9037	"Ceiba speciosa (A.St.-Hil.) Ravenna"	NA	"Malvaceae"	"species"	"accepted"	"Ceiba speciosa"	NA	NA	NA	""	"Ceiba speciosa"
"147"	9065	"Guazuma ulmifolia Lam."	NA	"Malvaceae"	"species"	"accepted"	"Guazuma ulmifolia"	NA	NA	NA	""	"Guazuma ulmifolia"
"148"	9094	"Luehea divaricata  Mart."	NA	"Malvaceae"	"species"	"accepted"	"Luehea divaricata"	NA	NA	NA	""	"Luehea divaricata"
"149"	9195	"Pseudobombax grandiflorum (Cav.) A.Robyns"	NA	"Malvaceae"	"species"	"accepted"	"Pseudobombax grandiflorum"	"LC"	NA	NA	""	"Pseudobombax grandiflorum"
"150"	9677	"Miconia buddlejoides Triana"	NA	"Melastomataceae"	"species"	"accepted"	"Miconia buddlejoides"	NA	NA	NA	"replaced synonym"	"Miconia budlejoides"
"151"	9686	"Miconia cinerascens Miq."	NA	"Melastomataceae"	"species"	"accepted"	"Miconia cinerascens"	NA	NA	NA	""	"Miconia cinerascens"
"152"	9743	"Miconia paniculata (DC.) Naudin"	NA	"Melastomataceae"	"species"	"accepted"	"Miconia paniculata"	"LC"	NA	NA	"replaced synonym"	"Miconia doriana"
"153"	9726	"Miconia ligustroides (DC.) Naudin"	NA	"Melastomataceae"	"species"	"accepted"	"Miconia ligustroides"	NA	NA	NA	""	"Miconia ligustroides"
"154"	9746	"Miconia petropolitana Cogn."	NA	"Melastomataceae"	"species"	"accepted"	"Miconia petropolitana"	NA	NA	NA	""	"Miconia petropolitana"
"155"	9754	"Miconia pusilliflora (DC.) Naudin"	NA	"Melastomataceae"	"species"	"accepted"	"Miconia pusilliflora"	NA	NA	NA	""	"Miconia pusilliflora"
